1869,2207.3
1710,2234.7
1537.2,2264.5
1348.7,2297.1
1142.4,2332.7
915.67,2371.8
1873,2009.3
1713.8,2028.6
1540.8,2049.5
1352.1,2072.4
1145.5,2097.4
918.29,2124.9
1877,1810.5
1717.6,1821.6
1544.4,1833.6
1355.4,1846.7
1148.5,1861
920.92,1876.8
1881,1610.9
1721.4,1613.7
1548,1616.7
1358.8,1619.9
1151.6,1623.5
923.57,1627.4
1885,1410.6
1725.3,1405
1551.7,1398.9
1362.2,1392.2
1154.6,1384.9
926.23,1376.9
1889,1209.5
1729.2,1195.4
1555.3,1180.1
1365.6,1163.5
1157.7,1145.2
928.91,1125.1
1893.1,1007.5
1733.1,984.98
1559,960.45
1369,933.67
1160.8,904.32
931.6,872.02
1897.1,804.8
1737,773.67
1562.7,739.82
1372.5,702.85
1163.9,662.32
934.3,617.7
2264,2222.2
2418.2,2261.8
2587.4,2305.3
2773.9,2353.2
2980.4,2406.3
3210.4,2465.4
2268.8,2023.1
2423.5,2053.5
2593.4,2087
2780.6,2123.8
2988,2164.7
3219,2210.2
2273.5,1823.1
2428.9,1844.4
2599.3,1867.7
2787.3,1893.4
2995.5,1921.9
3227.5,1953.7
2278.4,1622.4
2434.2,1634.4
2605.3,1647.5
2794,1661.9
3003.1,1678
3236.1,1695.8
2283.2,1420.9
2439.6,1423.5
2611.3,1426.3
2800.7,1429.4
3010.7,1432.8
3244.8,1436.7
2288,1218.6
2445,1211.7
2617.4,1204.1
2807.5,1195.8
3018.4,1186.5
3253.5,1176.2
2292.9,1015.5
2450.4,999.07
2623.4,981.02
2814.3,961.11
3026.1,939.02
3262.2,914.38
2297.8,811.58
2455.9,785.53
2629.5,756.92
2821.2,725.34
3033.8,690.31
3271,651.22
