908.06,2387.8
1135.7,2345.1
1342.6,2307.4
1532,2273.3
1704.4,2242.4
1863,2214.1
915.25,2135.7
1142.4,2105.7
1349.2,2079.2
1537.8,2055.2
1709.9,2033.4
1868.8,2013.8
921.17,1884.1
1148.7,1866.8
1354.9,1851.1
1542.9,1837.2
1714.9,1824.9
1873.1,1813.1
925.1,1632.9
1153.4,1627.9
1359.2,1623.7
1546.8,1619.7
1718.4,1616
1878.3,1612.7
928.98,1381.7
1156.9,1388.9
1362.7,1395.6
1550.9,1401.6
1723.8,1406.9
1882.8,1412
931.93,1129.1
1160,1149.1
1366.8,1166.9
1554.1,1182.9
1726.9,1197.1
1886.2,1210.7
933.98,876.04
1162.3,908.28
1369.3,936.99
1558,963.1
1730.1,987.01
1890.1,1008.7
936.59,621.03
1165.1,665.99
1372,706.23
1561.1,742.75
1733.9,775.92
1893,805.97
2268,2233.2
2422.6,2273
2592.1,2317
2780,2365.3
2988,2419.6
3219.3,2479.6
2272,2031.2
2426.1,2061.7
2596.6,2095.1
2783.2,2132.1
2991.3,2173.8
3224,2219.9
2275.8,1829.7
2430.6,1850.6
2600.6,1873.7
2787.7,1899.2
2995.8,1928
3229.3,1959.8
2278.3,1627.9
2434.6,1639.4
2607,1652.3
2794.6,1666.7
3001.7,1682.6
3233.8,1700
2283,1425.3
2441.3,1428
2615.2,1430.8
2803,1433.8
3008.4,1436.4
3242.1,1440
2289.4,1222.6
2448.9,1216
2621.8,1208.6
2810.9,1200
3018.1,1189.9
3252.8,1178.9
2295.9,1019.1
2456.6,1003.6
2626.1,984.9
2817.1,964.89
3027.2,942.14
3262.8,916.71
2302.9,814.96
2461.6,789.25
2629.9,759.84
2823.9,728.74
3036.8,693.09
3272.7,653.16
